,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Loans Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment","Flight, Fleet, Vehicle and Related Equipment","Furniture, Fixtures and Office Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Other Property, Plant and Equipment","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Other Loans, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
0,-0.052907500216602524,-0.09973701776228533,-0.08707599881126134,-0.08707599881126134,-0.027697779798477404,-0.08645564443004329,-0.03546568832969202,-0.053966066508437334,-0.0294835927666503,-0.08370954630636157,-0.05199231824199377,-0.03949186376580341,-0.05130037409608541,-0.08232184529247596,-0.07500380936927631,-0.0307091573344516,-0.031004560874059887,-0.035701766917177316,-0.035701766917177316,-0.038491719153094996,-0.0314657203440783,-0.08338309826351357,-0.08573292647848535,-0.03871158879613835,-0.0378930713726048,-0.03923316443639626,-0.03923316443639626,-0.038491719153094996,-0.03760420217650853,-0.03454583813441336,-0.043949476898442634,-0.049440093043489806,-0.05096025563422974,-0.038491719153094996,-0.038491719153094996,-0.034181604326437375,-0.035701766917177316,-0.026509550765839537,-0.035701766917177316,-0.035701766917177316,-0.031972197948074835,-0.03576370098085694,-0.03376770391267235,-0.033675281959143794,-0.035701766917177316,-0.035701766917177316,-0.09382924547588731,-0.09404748201214314,-0.10553474866019832,-0.10025028846811304,-0.09252497769100275,-0.07729681262640334,-0.12796198912595982,-0.044774886078431594
Revenue per Share,0.027616166452611144,0.034624567976929255,0.049966402520800694,0.042468314156063426,0.022731284318657136,0.03994859016143707,0.056093510127893716,0.061063594382631314,0.04621222880914601,0.05188226910228689,0.042458440930048046,0.03492071071099948,0.04227520512856755,0.041204596053694933,0.04956888003899849,0.040664549974832175,0.048394854068005956,0.016783914436100292,0.043662919814302696,0.03230247007511385,0.05656878695997801,0.039749418456210876,0.03997233080535359,0.04804652312321359,0.055355853396127745,0.038463297828371046,0.031237331465111436,0.039584902462847654,0.05347279897197923,0.0459248015713813,0.015571917810237031,0.0483997118710065,0.03470889915427082,0.03041252944314782,0.03425870767017009,0.03730186881204648,0.042703415138681804,0.04290028018003977,0.052516430692663055,0.0520357932383282,0.03685977146460675,0.06346507357642314,0.04193355280021108,0.03493733921223072,0.04723988498204609,0.04950265373477757,0.10206003608823794,0.04613966459043985,0.01145114812301019,0.018206955619648052,0.017532364358653962,0.13336601874569276,0.04240069167761056,0.016657403541937954
EBITDA per Share,0.022065911742106332,0.01886011980012551,0.028026516852228286,0.01898576085340596,-0.008249584330644601,0.01809965949542906,0.014556909724122389,0.048980453707656746,0.06129459374543672,0.041820549725134874,0.05993909464464728,0.001964630542534745,0.028084503113340983,0.026016146493604404,0.05622942376727426,0.06269520641191109,0.03735927633597665,-0.018626040584885758,0.0014951524490704484,0.03473127323291265,0.05861295051542172,0.05017595436121902,0.05420010702501656,0.059201676328799746,0.05072506707463018,0.06817476709311159,0.06632374327101738,0.03387496381266608,0.08469857458451784,0.015204174205862845,0.05415078634231395,0.06656502072351321,0.06604835331566841,0.046317483720453544,0.04644268603724581,0.016286318646372398,0.014192847110291144,0.013748601225114634,0.016851901288371156,0.01836310481121412,0.010205343374265157,0.04759217277951639,0.018678938606816443,0.01572872509393912,0.015543197228294904,0.02240710579057949,0.03578660159137451,0.023348331863341548,0.05405980726566966,0.05040181963220238,0.053443677577408484,0.03530104269765873,0.025133562514421802,0.044537972155933823
EBIT per Share,0.030338630791939415,0.021610570238458634,0.03217619048351831,0.02573165937609694,-0.006746426316905975,0.030836263753557674,0.014642631331600355,0.05201164720602906,0.06190413932110826,0.04060480615865763,0.0618818135968038,0.006224546347136392,0.032247275051909004,0.022765723584644,0.052150287145120655,0.06993858961622249,0.036318919036527855,-0.018176256363576546,0.0020520039023443604,0.03354022067436581,0.06579009710773934,0.049098887287490366,0.05548785152379337,0.05732447128743566,0.05165063660295023,0.056800918101811884,0.06652894722435466,0.029726907285184095,0.08798206657739147,0.014091581689123847,0.055295292661041884,0.07367395432337229,0.06514685186015792,0.05006930009270065,0.050486222039792736,0.016608175935760604,0.017747103641168663,0.013724433431103578,0.01365305196288409,0.018812889032523334,0.011919259845545864,0.05542810915785387,0.0170996847678288,0.017380401656676814,0.01136511369066495,0.02552335702174256,0.021559779828741583,0.028113117593233053,0.053567183267533076,0.04718567855518951,0.03637853909899283,0.029207484207636712,0.024244666139908277,0.04741773761310446
Earnings per Share (Diluted),0.08972340236683407,0.17516937812097733,0.12688177008403298,0.12984192017039686,0.04976744103861875,0.12451981417439996,0.1026645049127684,0.12980939527156846,0.10851625274880483,0.14027595512930058,0.11406866748127373,0.10408316405099005,0.09474472511028727,0.13030669061168346,0.15491088167287062,0.09701563907775686,0.07434168940048774,0.07588807734408981,0.11121901611204094,0.06798805722103939,0.10614259036882612,0.06697748791086611,0.07055838828070486,0.0936296736718382,0.09895161351296557,0.0898901855323149,0.08222451859023129,0.10798096483033244,0.08088619928583074,0.09677551797003375,0.09512377084159383,0.11893836272699389,0.11208087563811621,0.10271680681461369,0.09169894916413729,0.10630916711279131,0.11134284765182718,0.10795917891488299,0.08471042763340779,0.1151838804741136,0.10223808627846184,0.12862992523498198,0.10683159333303675,0.10587955706296524,0.11094229269483946,0.1059442038990312,0.1199321616712909,0.18041727759977688,0.06395970519342176,0.08260224244159657,0.081530252817714,0.20628705997917585,0.12501398452675544,0.09917167026946792
EPS without NRI,0.04414748468078254,0.08244213511711297,0.0872957532888352,0.048622892998335984,0.01800099014860147,0.05610377609308046,0.08612887608952746,0.07509551318211073,0.08915409204729385,0.10969312670440183,0.06376647677991512,0.02208013770386547,0.11922076484572296,0.1269665348312832,0.11027416718390262,0.08655718955835562,0.048255181138596795,0.06850462061492593,0.05275532918539392,0.06229115865892524,0.0900664631677023,0.0646690724742322,0.07094126651953953,0.06503998969650472,0.0508588270649713,0.03075622526333515,0.04496917147057246,0.04287234828143286,0.03692181245270324,0.09570272623578013,0.11537975000501798,0.11332577182561636,0.06218805222299949,0.06110012953942029,0.06066385192168212,0.08757842136658853,0.0386250019482338,0.037427307708224666,0.04340399996435654,0.06640537521917823,0.09590676918088586,0.13257469598319213,0.07439316134663243,0.028818506059467848,0.02903343108368505,0.10931543059915895,0.12831344815413184,0.06012824585160252,0.05304092835702781,0.05172917540998045,0.03656605407814751,0.05621441787960982,-0.019060689778054432,0.050708665180512424
Owner Earnings per Share (TTM),0.12696096577838442,0.12937664099448243,0.06485201144265898,0.0625109296114281,0.012303953692014091,0.057979103645360526,0.05159299128571891,0.08683584053340174,0.09397902767042442,0.06747820063296367,0.10061061702673207,0.05276520276973417,0.051760418548436736,0.07657005503608713,0.08011326585330229,0.06628873486880929,0.07734913085274861,0.03612278140055821,0.05676320273084236,0.06374244770381297,0.09904483885118832,0.09693746524863167,0.08232218238719194,0.0855490337780816,0.0847492972529638,0.1337092587326232,0.11676932943013227,0.0998114711203196,0.129887975165135,0.05967267843516608,0.03456779042191796,0.09685138762042593,0.09852469178173297,0.09769967443715766,0.08172586055785698,0.052337078530557433,0.056488751278119795,0.052135922433494665,0.013398500255830038,0.056110321549669225,0.046071802257940005,0.08196398249000562,0.05667457929770177,0.051518424715981066,0.045723566185396906,0.0557823563964216,0.09562476882795246,0.13179710771532338,0.0509814452191323,0.06248902430120173,0.06396279312188458,0.14576240111344285,0.103664409268749,0.0749842586777381
Free Cash Flow per Share,0.0217682476296083,0.03322991099639387,0.10933699739360467,0.05048200454999528,0.3925092478051911,0.0027402533931670985,0.005273606161270863,0.04317126320567383,0.05170527898656774,0.04630494434052631,0.04307620090046439,0.008525510865953868,0.09760699884905431,0.025155131070653036,0.038577782529610125,0.022369513123025833,0.009403949483556986,-0.02322847523947602,0.012987462610232873,0.01687920412879497,0.05144353892323059,0.0300796416439583,0.03706048147776473,0.0470527478403092,0.041856396772634266,0.08795066897679564,0.09441062053605467,0.04052162123135565,0.10749375794437463,0.005841990863261093,0.018806118755058377,0.05132361990768813,0.03955195453180724,0.05131519144453871,0.11147399321623283,0.006548846106561918,0.005711283665635872,0.008192736260692115,0.007588904135659411,0.006769278928993486,0.0018220450973141281,0.039708072754113984,0.006511907209062622,0.014456230096823952,0.0063467042073807435,0.010364866909680156,0.03792981667525816,0.009585595279970677,0.03631447160611892,0.028308678199765343,0.03109719377190237,0.05940261752110896,0.022914008558872156,0.026842106911205234
Operating Cash Flow per Share,0.0837122604768282,0.0810150027182357,0.10913035216587223,0.04781020235643476,0.36583132727927087,0.0034607250648432536,0.008081353446304269,0.05002655575606289,0.059184833611988494,0.07831550410545118,0.04663508986380713,0.020359148182841073,0.039943955492771605,0.04253187344793826,0.051068126413782416,0.021808474542295522,0.0034775343623214485,-0.004461847120847382,0.012859754640810087,0.027623570988602762,0.07620097969895762,0.05939659595730153,0.05624627606463252,0.07353939741493157,0.05453028311887584,0.09151170536925098,0.08792692944791265,0.055910622671977585,0.09573247648196849,0.008592276130662739,0.028218800983380057,0.05345700974001482,0.04200361568585826,0.042639199664856145,0.061781562206331526,-0.0011209747536415386,0.01112763036209014,0.019290229317721473,-0.012529314626550157,0.010693418941796972,0.0076819836849952895,0.0376451209285786,0.013540749192375886,0.016618957596263566,0.013638963817213686,0.017403781880679255,0.07424354977937163,0.03001412003343449,0.03987083041712863,0.09295312025459986,0.01857553916551276,0.04793393835005968,0.0858825903525346,0.02598104477085883
Cash per Share,0.10560456702116595,0.12117808661558131,0.13775684061684212,0.14335149834868735,0.4809277431534114,0.05029169543190284,0.03475757591494468,0.0722642042806565,0.053939141511908324,0.05847030599977206,0.04576120232792976,0.0624856013446772,0.05618124315409941,0.06319255116185676,0.07698004136420929,0.07216528186321891,0.030237108547147545,0.005842302626572918,-0.012572188365929606,0.033788618729909924,0.06686735197139909,0.046164777776359,0.0497681168562132,0.0689982435588205,0.05738501551798394,0.045809174939974995,0.04525746452975676,0.05370616704529968,0.059222067610222306,0.040701205090778576,0.018539602862501267,0.05252044997905004,0.04916186569424826,0.12718142780701053,0.07352057709526957,0.023245068798747732,0.03818645873174291,0.03791687821187569,0.03732841967449551,0.02943500409528323,0.026839179900757494,0.08303082134359623,0.03093606420655077,0.03221196761273248,0.04162639664244712,0.04873440678101676,0.10604164960696497,0.1332739492576179,0.08611462258071574,0.08309175310024637,0.0899004696125335,0.1323791890048382,-0.024897849718318824,0.0371343760552371
Dividends per Share,0.00613328794232031,0.07360993226776823,0.0853700079923012,0.09269874587266072,0.009619667204132556,0.09144663803315856,0.058021195776669504,0.0923477727688464,0.06564968064892583,0.11481957495231482,0.08203129391146903,0.05656568601872858,0.06133183145623991,0.0794748851525452,0.12196814588563906,0.040225568336103815,0.03111199674983771,0.023254566883914446,0.023592843665331147,0.021680576768641515,0.03187529164709227,0.0536209187204339,0.0498374043287613,0.05429179109802425,0.05552344850318632,0.03133849391442727,0.02502315387575006,0.017216199474187028,0.042092543185280364,0.055933891177650685,0.04466445690578194,0.055107350318684765,0.0771841852434627,0.06035332415288287,0.06019419194370096,0.06734560391432722,0.06246939629818199,0.06033927911671962,0.06619861849788763,0.06467234033182029,0.053914981884076146,0.050987090226043495,0.060117503447175875,0.06068264871682918,0.06570784549407441,0.06601537487028296,0.07555579596389794,0.13006162079438532,0.03285620825343221,0.0614738577723824,0.0689376664380714,0.16223256909596145,0.02078067728830481,-0.00787391979515574
Book Value per Share,0.02813069385149375,0.03906024481211517,0.05297994971683225,0.057823727622319264,0.026724799865780226,0.050467717385954514,0.05270901406707311,0.06434450569731567,0.05128296641832556,0.05958256019185629,0.05228235685449022,0.03617560790683163,0.050127347920578394,0.04537726093110338,0.06520817933021106,0.05460556442184802,0.028724886170245153,0.023770916558630763,0.038666165949522456,0.04347243499727958,0.061359550179451265,0.030642376174314718,0.0425419726235406,0.05485614639197304,0.03829286546611389,0.041330630956340424,0.03384981163989415,0.049375084848393674,0.054843620243086894,0.047526222664128315,0.03913631294682054,0.05428841156422926,0.049303771710114096,0.04044117125773263,0.046343894392814625,0.05189598117469198,0.0490239310172827,0.04580491313179576,0.04269832585057518,0.05060680002639873,0.04487750389739327,0.060988998729926344,0.046274833908071536,0.047480340775029196,0.050754811762229735,0.054622936796548095,0.04265242726715625,0.042412601653661515,0.024367248335162347,0.025400870000813335,0.016888640010305357,0.06473088259780907,-0.015117577603060359,0.036015574514088225
Tangible Book per Share,0.010469562161281804,0.03722631945331743,0.05102963156791314,0.047320557792914233,0.010877362878703804,0.051491284261281245,0.036593481728489134,0.07010196426821359,0.05712188518553056,0.055556766271738944,0.027321928119949192,0.02200625854651296,0.0501861931165868,0.04495840512577299,0.061025071849877016,0.051076017422959745,0.04653965274692573,0.03156727068662824,0.03542021053714359,0.058833232412851,0.05294330490602609,0.03943199531748634,0.044014435044362726,0.04165632496213589,0.04380692017231232,0.04489598626875329,0.04991131855132332,0.04800062537778776,0.05949492293401628,0.029051243112050946,0.018234485896704913,0.038196458528409846,0.030707039293843566,0.04983979056353385,0.044925810776814915,0.030239460657320333,0.03178830184098173,0.030332576142583376,0.019292662206714342,0.03474121276991497,0.025443968212045594,0.06404913249140651,0.029843877677363084,0.030229127995260046,0.03178830184098173,0.03685701591517039,0.044009153864537354,0.06485803848075564,0.0074410725489046006,0.007690677001500506,0.00554347952945469,0.06740703712966326,-0.01730564582546644,0.03487743096223189
Total Debt per Share,0.13740444034104446,0.18438065035175571,0.06149894171260241,0.0657632015231255,0.016166798128795155,0.06140950998897614,0.04391358637537329,0.16481004969043297,0.09653180726130506,0.07305243644337767,0.10966014342973349,0.030485566966178074,0.19564120679268698,0.06902179378669682,0.06951300591775517,0.08857858008508737,0.07881493755714969,0.009619991708277431,0.03393620061747646,0.04431762889902456,0.09705187954013557,0.019967090365047367,0.01392555821733551,0.08980671367845072,0.08046194039921917,0.03929215478847118,0.03452218787224468,0.0776470662353532,0.038919782752521455,0.05350839139597175,0.13824656943060468,0.12379203754658219,0.11178438810336327,0.09007371622581319,0.07555426758248511,0.1026125471063327,0.09534963733511699,0.1025219164203988,0.19762453476072125,0.12707940341533489,0.09500683327578388,0.19909429472753798,0.10168150416552223,0.11257698274590253,0.1102910780721784,0.10622703954058337,0.19811541873514626,0.08687211351059869,0.028290782614287118,0.04349144351847706,0.005075875044828617,0.14940604969745325,0.053802027424941855,0.11321115309536013
